Call Number/ID,image files,image labels,Repository Country,Repository City,Repository Name,Source Collection,Facets,Date (narrative),Date (range) start,Date (range) end,Page dimensions,Note(s),Support Material,Language,Place of origin,Script,Creator,Creator Role,Former Owner,FO Ref,Manuscript Name
Lewis E M 22:17,mcai220171.tif|mcai220172.tif|,Lewis E M 22.17 front|Lewis E M 22.17 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Italy, Italian, Song book, Musical notation, Illustration, Illumination, Fragment",,,,,,,,,,,,,,
Lewis E M 22:18-21,mcai220181.tif|mcai220182.tif|mcai220191.tif|mcai220192.tif|mcai220201.tif|mcai220202.tif|mcai220211.tif|mcai220212.tif|,Lewis E M 22.18 front|Lewis E M 22.18 reverse|Lewis E M 22.19 front|Lewis E M 22.19 reverse|Lewis E M 22.20 front|Lewis E M 22.20 reverse|Lewis E M 22.21 front|Lewis E M 22.21 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1450,1475,124 x 164 mm,"Initial M | These cuttings can be dated to ca. 1470. | This initial belongs to a group of cuttings in the Free Library from the same choir book or at least the same set of choir books. These are: Lewis E M 22:7-16, E M 22:18-21, E M 23:1-6, E M 25:1-3, and E M 76:29a. Several of these cuttings have been attributed to the Sienese illuminator Sano di Pietro, who was active in Siena in the 1460s and 1470s. Although there is scant textual evidence to determine the type of choir book from which these cuttings were taken, similarities in the style of decoration, the color palette, and dimensions in the height of the staves on the reverse allow them to be grouped together.|These cuttings can be dated to ca. 1470. | This image shows the reverse of a cutting with a decorated initial from a choir book.|Initial N | These cuttings can be dated to ca. 1470. | This initial belongs to a group of cuttings in the Free Library from the same choir book or at least the same set of choir books. These are: Lewis E M 22:7-16, E M 22:18-21, E M 23:1-6, E M 25:1-3, and E M 76:29a. Several of these cuttings have been attributed to the Sienese illuminator Sano di Pietro, who was active in Siena in the 1460s and 1470s. Although there is scant textual evidence to determine the type of choir book from which these cuttings were taken, similarities in the style of decoration, the color palette, and dimensions in the height of the staves on the reverse allow them to be grouped together.|These cuttings can be dated to ca. 1470. | This image shows the reverse of a cutting with a decorated initial from a choir book.|Initial O | These cuttings can be dated to ca. 1470. | This initial belongs to a group of cuttings in the Free Library from the same choir book or at least the same set of choir books. These are: Lewis E M 22:7-16, E M 22:18-21, E M 23:1-6, E M 25:1-3, and E M 76:29a. Several of these cuttings have been attributed to the Sienese illuminator Sano di Pietro, who was active in Siena in the 1460s and 1470s. Although there is scant textual evidence to determine the type of choir book from which these cuttings were taken, similarities in the style of decoration, the color palette, and dimensions in the height of the staves on the reverse allow them to be grouped together.|These cuttings can be dated to ca. 1470. | This image shows the reverse of a cutting with a decorated initial from a choir book.|Initial H | These cuttings can be dated to ca. 1470. | This initial belongs to a group of cuttings in the Free Library from the same choir book or at least the same set of choir books. These are: Lewis E M 22:7-16, E M 22:18-21, E M 23:1-6, E M 25:1-3, and E M 76:29a. Several of these cuttings have been attributed to the Sienese illuminator Sano di Pietro, who was active in Siena in the 1460s and 1470s. Although there is scant textual evidence to determine the type of choir book from which these cuttings were taken, similarities in the style of decoration, the color palette, and dimensions in the height of the staves on the reverse allow them to be grouped together.|These cuttings can be dated to ca. 1470. | This image shows the reverse of a cutting with a decorated initial from a choir book.|",Parchment,Latin,"Siena, Italy",,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Choir book
Lewis E M 22:18-21,mcai220181.tif|mcai220182.tif|mcai220191.tif|mcai220192.tif|mcai220201.tif|mcai220202.tif|mcai220211.tif|mcai220212.tif|,Lewis E M 22.18 front|Lewis E M 22.18 reverse|Lewis E M 22.19 front|Lewis E M 22.19 reverse|Lewis E M 22.20 front|Lewis E M 22.20 reverse|Lewis E M 22.21 front|Lewis E M 22.21 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Italy, Italian, Song book, Musical notation, Illustration, Illumination, Fragment",,,,,,,,,,,,,,
Lewis E M 23:1-6,mcai230011.tif|mcai230012.tif|mcai230021.tif|mcai230022.tif|mcai230031.tif|mcai230032.tif|mcai230041.tif|mcai230042.tif|mcai230051.tif|mcai230052.tif|mcai230061.tif|mcai230062.tif|,Lewis E M 23.1 front|Lewis E M 23.1 reverse|Lewis E M 23.2 front|Lewis E M 23.2 reverse|Lewis E M 23.3 front|Lewis E M 23.3 reverse|Lewis E M 23.4 front|Lewis E M 23.4 reverse|Lewis E M 23.5 front|Lewis E M 23.5 reverse|Lewis E M 23.6 front|Lewis E M 23.6 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1450,1499,67 x 120 mm,"Initial O | These cuttings can be dated to ca. 1470. | This initial belongs to a group of cuttings in the Free Library from the same choir book or the same set of choir books. These are: Lewis E M 22:7-16, E M 22:18-21, E M 23:1-6, E M 25:1-3, and E M 76:29a. Although there is scant textual evidence to determine the type of choir book from which these cuttings were taken, similarities in the style of decoration, the color palette, and dimensions in the height of the staves on the reverse allow them to be grouped together.|These cuttings can be dated to ca. 1470. | This image shows the reverse of a cutting with a decorated initial from a choir book.|Initial N | These cuttings can be dated to ca. 1470. | This initial belongs to a group of cuttings in the Free Library from the same choir book or the same set of choir books. These are: Lewis E M 22:7-16, E M 22:18-21, E M 23:1-6, E M 25:1-3, and E M 76:29a. Although there is scant textual evidence to determine the type of choir book from which these cuttings were taken, similarities in the style of decoration, the color palette, and dimensions in the height of the staves on the reverse allow them to be grouped together.|These cuttings can be dated to ca. 1470. | This image shows the reverse of a cutting with a decorated initial from a choir book.|Initial U | These cuttings can be dated to ca. 1470. | This initial belongs to a group of cuttings in the Free Library from the same choir book or the same set of choir books. These are: Lewis E M 22:7-16, E M 22:18-21, E M 23:1-6, E M 25:1-3, and E M 76:29a. Although there is scant textual evidence to determine the type of choir book from which these cuttings were taken, similarities in the style of decoration, the color palette, and dimensions in the height of the staves on the reverse allow them to be grouped together.|These cuttings can be dated to ca. 1470. | This image shows the reverse of a cutting with a decorated initial from a choir book.|Initial U | These cuttings can be dated to ca. 1470. | This initial belongs to a group of cuttings in the Free Library from the same choir book or the same set of choir books. These are: Lewis E M 22:7-16, E M 22:18-21, E M 23:1-6, E M 25:1-3, and E M 76:29a. Although there is scant textual evidence to determine the type of choir book from which these cuttings were taken, similarities in the style of decoration, the color palette, and dimensions in the height of the staves on the reverse allow them to be grouped together.|This cutting is the reverse of an initial U.|Initial C | These cuttings can be dated to ca. 1470. | This initial belongs to a group of cuttings in the Free Library from the same choir book or the same set of choir books. These are: Lewis E M 22:7-16, E M 22:18-21, E M 23:1-6, E M 25:1-3, and E M 76:29a. Although there is scant textual evidence to determine the type of choir book from which these cuttings were taken, similarities in the style of decoration, the color palette, and dimensions in the height of the staves on the reverse allow them to be grouped together.|These cuttings can be dated to ca. 1470. | This image shows the reverse of a cutting with a decorated initial from a choir book.|Initial E | These cuttings can be dated to ca. 1470. | This initial belongs to a group of cuttings in the Free Library from the same choir book or the same set of choir books. These are: Lewis E M 22:7-16, E M 22:18-21, E M 23:1-6, E M 25:1-3, and E M 76:29a. Although there is scant textual evidence to determine the type of choir book from which these cuttings were taken, similarities in the style of decoration, the color palette, and dimensions in the height of the staves on the reverse allow them to be grouped together.|These cuttings can be dated to ca. 1470. | This image shows the reverse of a cutting with a decorated initial from a choir book.|",Parchment,Latin,"Siena, Italy",,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Choir book
Lewis E M 23:1-6,mcai230011.tif|mcai230012.tif|mcai230021.tif|mcai230022.tif|mcai230031.tif|mcai230032.tif|mcai230041.tif|mcai230042.tif|mcai230051.tif|mcai230052.tif|mcai230061.tif|mcai230062.tif|,Lewis E M 23.1 front|Lewis E M 23.1 reverse|Lewis E M 23.2 front|Lewis E M 23.2 reverse|Lewis E M 23.3 front|Lewis E M 23.3 reverse|Lewis E M 23.4 front|Lewis E M 23.4 reverse|Lewis E M 23.5 front|Lewis E M 23.5 reverse|Lewis E M 23.6 front|Lewis E M 23.6 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Italy, Italian, Song book, Musical notation, Illustration, Illumination, Fragment",,,,,,,,,,,,,,
Lewis E M 23:7a-d,mcai230070.tif|mcai230073.tif|mcai230074.tif|mcai230075.tif|mcai230076.tif|mcai230077.tif|mcai230078.tif|mcai230079.tif|,Lewis E M 23.7d reverse|Lewis E M 23.7a front|Lewis E M 23.7a reverse|Lewis E M 23.7b front|Lewis E M 23.7b reverse|Lewis E M 23.7c front|Lewis E M 23.7c reverse|Lewis E M 23.7d front|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1400,1499,60 x 58 mm,This image shows the reverse of a cutting with a decorated initial from a choir book.|Initial R | This initial is typical of minor initial decoration found in Italian choir books of the fifteenth century.|This image shows the reverse of a cutting with a decorated initial from a choir book.|Initial C | This initial is typical of minor initial decoration found in Italian choir books of the fifteenth century.|This image shows the reverse of a cutting with a decorated initial from a choir book.|Initial Q | This initial is typical of minor initial decoration found in Italian choir books of the fifteenth century.|This image shows the reverse of a cutting with a decorated initial from a choir book.|Initial T | This initial is typical of minor initial decoration found in Italian choir books of the fifteenth century.|,Parchment,Latin,Italy (northern),Rotunda,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Choir book
Lewis E M 23:7a-d,mcai230070.tif|mcai230073.tif|mcai230074.tif|mcai230075.tif|mcai230076.tif|mcai230077.tif|mcai230078.tif|mcai230079.tif|,Lewis E M 23.7d reverse|Lewis E M 23.7a front|Lewis E M 23.7a reverse|Lewis E M 23.7b front|Lewis E M 23.7b reverse|Lewis E M 23.7c front|Lewis E M 23.7c reverse|Lewis E M 23.7d front|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Italy, Italian, Song book, Musical notation, Illustration, Illumination, Fragment",,,,,,,,,,,,,,
Lewis E M 23:8,mcai230081.tif|mcai230082.tif|,Lewis E M 23.8 front|Lewis E M 23.8 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1400,1499,103 x 93 mm,Initial K | This initial is typical of minor initial decoration found in Italian choir books of the fifteenth century.|This image shows the reverse of a cutting with a decorated initial from a choir book.|,Parchment,Latin,Italy (central),,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Choir book
Lewis E M 23:8,mcai230081.tif|mcai230082.tif|,Lewis E M 23.8 front|Lewis E M 23.8 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Italy, Italian, Song book, Musical notation, Illustration, Illumination, Fragment",,,,,,,,,,,,,,
Lewis E M 23:9,mcai230091.tif|mcai230092.tif|,Lewis E M 23.9 front|Lewis E M 23.9 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1400,1499,129 x 157 mm,Initial S | This initial is typical of minor initial decoration found in Italian choir books of the fifteenth century. It is from the same manuscript as Lewis E M 23:12.|This image shows the reverse of a cutting with a decorated initial from a choir book.|,Parchment,Latin,Italy (northern),,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Choir book
Lewis E M 23:9,mcai230091.tif|mcai230092.tif|,Lewis E M 23.9 front|Lewis E M 23.9 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Italy, Italian, Song book, Musical notation, Illustration, Illumination, Fragment",,,,,,,,,,,,,,
Lewis E M 23:10,mcai230101.tif|mcai230102.tif|,Lewis E M 23.10 front|Lewis E M 23.10 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1400,1499,83 x 76 mm,Initial T | This initial is typical of minor initial decoration found in Italian choir books of the fifteenth century.|This image shows the reverse of a cutting with a decorated initial from a choir book.|,Parchment,Latin,Italy (northern),,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Choir book
Lewis E M 23:10,mcai230101.tif|mcai230102.tif|,Lewis E M 23.10 front|Lewis E M 23.10 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Italy, Italian, Song book, Musical notation, Illustration, Illumination, Fragment",,,,,,,,,,,,,,
Lewis E M 23:11,mcai230111.tif|,Lewis E M 23.11|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1400,1499,97 x 99 mm,Initial A | This initial is typical of minor initial decoration found in Italian choir books of the fifteenth century.|,Parchment,Latin,Italy (northern),,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Choir book
Lewis E M 23:11,mcai230111.tif|,Lewis E M 23.11|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Italy, Italian, Song book, Musical notation, Illustration, Illumination, Fragment",,,,,,,,,,,,,,
Lewis E M 23:12,mcai230121.tif|mcai230122.tif|,Lewis E M 23.12 front|Lewis E M 23.12 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1400,1499,120 x 140 mm,Initial R | This initial is typical of minor initial decoration found in Italian choir books of the fifteenth century. It is from the same manuscript as Lewis E M 23:9.|This image shows the reverse of a cutting with a decorated initial from a choir book.|,Parchment,Latin,Italy (northern),,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Choir book
Lewis E M 23:12,mcai230121.tif|mcai230122.tif|,Lewis E M 23.12 front|Lewis E M 23.12 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Italy, Italian, Song book, Musical notation, Illustration, Illumination, Fragment",,,,,,,,,,,,,,
Lewis E M 23:13,mcai230131.tif|mcai230132.tif|,Lewis E M 23.13 front|Lewis E M 23.13 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1400,1499,96 x 85 mm,Initial U | This initial is typical of minor initial decoration found in Italian choir books of the fifteenth century.|This cutting is the reverse of an initial U.|,Parchment,Latin,"Verona, Italy",,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Choir book
Lewis E M 23:13,mcai230131.tif|mcai230132.tif|,Lewis E M 23.13 front|Lewis E M 23.13 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Italy, Italian, Song book, Musical notation, Illustration, Illumination, Fragment",,,,,,,,,,,,,,
Lewis E M 23:14,mcai230141.tif|mcai230142.tif|,Lewis E M 23.14 front|Lewis E M 23.14 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1300,1399,145 x 157 mm,Initial L | This initial is typical of minor initial decoration found in Italian choir books of the fourteenth century.|This image shows the reverse of a cutting with a decorated initial from a choir book.|,Parchment,Latin,Italy (northern),,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Choir book
Lewis E M 23:14,mcai230141.tif|mcai230142.tif|,Lewis E M 23.14 front|Lewis E M 23.14 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"14th century, Italy, Italian, Song book, Musical notation, Illustration, Illumination, Fragment",,,,,,,,,,,,,,
Lewis E M 23:15,mcai230151.tif|mcai230152.tif|,Lewis E M 23.15 front|Lewis E M 23.15 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1300,1399,118 x 150 mm,Initial L | This initial is typical of minor initial decoration found in Italian choir books of the fourteenth century.|This image shows the reverse of a cutting with a decorated initial from a choir book.|,Parchment,Latin,Italy (northern),Rotunda,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Choir book
Lewis E M 23:15,mcai230151.tif|mcai230152.tif|,Lewis E M 23.15 front|Lewis E M 23.15 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"14th century, Italy, Italian, Song book, Musical notation, Illustration, Illumination, Fragment",,,,,,,,,,,,,,
Lewis E M 23:16,mcai230161.tif|mcai230162.tif|,Lewis E M 23.16 front|Lewis E M 23.16 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1300,1399,119 x 201 mm,Initial L | This initial is typical of minor initial decoration found in Italian choir books of the fourteenth century.|This image shows the reverse of a cutting with a decorated initial from a choir book.|,Parchment,Latin,"Florence, Italy",Rotunda,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Choir book
Lewis E M 23:16,mcai230161.tif|mcai230162.tif|,Lewis E M 23.16 front|Lewis E M 23.16 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"14th century, Italy, Italian, Song book, Musical notation, Illustration, Illumination, Fragment",,,,,,,,,,,,,,
Lewis E M 23:17,mcai230171.tif|mcai230172.tif|,Lewis E M 23.17 front|Lewis E M 23.17 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1300,1399,101 x 98 mm,Initial C | The design of this initial is remarkable for its intricacy. The interlaced vine-scroll motif that fills the bowl of the letter reflects the influence of illumination associated with Humanist manuscripts.|This image shows the reverse of a cutting with a decorated initial from a choir book.|,Parchment,Latin,Italy (central),,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Choir book
Lewis E M 23:17,mcai230171.tif|mcai230172.tif|,Lewis E M 23.17 front|Lewis E M 23.17 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"14th century, Italy, Italian, Song book, Musical notation, Illustration, Illumination, Fragment",,,,,,,,,,,,,,
Lewis E M 23:18,mcai230180.tif|mcai230183.tif|mcai230184.tif|mcai230185.tif|mcai230186.tif|mcai230187.tif|mcai230188.tif|mcai230189.tif|,Lewis E M 23.18 front a|Lewis E M 23.18 reverse a|Lewis E M 23.18 front b|Lewis E M 23.18 reverse b|Lewis E M 23.18 front c|Lewis E M 23.18 reverse c|Lewis E M 23.18 front d|Lewis E M 23.18 reverse d|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,,,,||||||||,Parchment,Latin,Unknown,Gothic bookhand,Gregory IX,Author,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Decretals
Lewis E M 23:18,mcai230180.tif|mcai230183.tif|mcai230184.tif|mcai230185.tif|mcai230186.tif|mcai230187.tif|mcai230188.tif|mcai230189.tif|,Lewis E M 23.18 front a|Lewis E M 23.18 reverse a|Lewis E M 23.18 front b|Lewis E M 23.18 reverse b|Lewis E M 23.18 front c|Lewis E M 23.18 reverse c|Lewis E M 23.18 front d|Lewis E M 23.18 reverse d|,United States,Philadelphia,Free Library of Philadelphia,,"Christian, Legal, Fragment",,,,,,,,,,,,,,
Lewis E M 23:19,mcai230191.tif|mcai230192.tif|,Lewis E M 23.19 front|Lewis E M 23.19 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1400,1499,135 x 125 mm,Initial D | This initial is typical of minor initial decoration found in Italian choir books of the fourteenth century.|This image shows the reverse of a cutting with a decorated initial from a choir book.|,Parchment,Latin,Italy (northern),,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Decorated initial D
Lewis E M 23:19,mcai230191.tif|mcai230192.tif|,Lewis E M 23.19 front|Lewis E M 23.19 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Italy, Italian, Illustration, Illumination, Fragment",,,,,,,,,,,,,,
Lewis E M 23:20,mcai230201.tif|mcai230202.tif|,Lewis E M 23.20 front|Lewis E M 23.20 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1490,1510,109 x 128 mm,Initial E | This initial is typical of minor initial decoration found in Italian choir books of the fourteenth century. The illusionistic ornament of the delicate flowers floating above the gold ground reflects the influence of Flemish illumination on Italian artists at the turn of the sixteenth century.|This image shows the reverse of a cutting with a decorated initial from a choir book.|,Parchment,Latin,Italy (northern),,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Choir book
Lewis E M 23:20,mcai230201.tif|mcai230202.tif|,Lewis E M 23.20 front|Lewis E M 23.20 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, 16th century, Italy, Italian, Song book, Musical notation, Illustration, Illumination, Fragment",,,,,,,,,,,,,,
Lewis E M 23:21,mcai230213.tif|mcai230214.tif|mcai230215.tif|mcai230216.tif|,Lewis E M 23.21 front a|Lewis E M 23.21 reverse a|Lewis E M 23.21 front b|Lewis E M 23.21 reverse b|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1400,1499,87 x 85 mm,Initial D (or P) | This initial is typical of minor initial decoration found in Italian choir books of the fifteenth century.|This image shows the reverse of a cutting with a decorated initial from a choir book.|Initial D | This initial is typical of minor initial decoration found in Italian choir books of the fifteenth century.|This image shows the reverse of a cutting with a decorated initial from a choir book.|,Parchment,Latin,"Lombardy, Italy",,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Choir book
Lewis E M 23:21,mcai230213.tif|mcai230214.tif|mcai230215.tif|mcai230216.tif|,Lewis E M 23.21 front a|Lewis E M 23.21 reverse a|Lewis E M 23.21 front b|Lewis E M 23.21 reverse b|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Italy, Italian, Song book, Musical notation, Illustration, Illumination, Fragment",,,,,,,,,,,,,,
Lewis E M 23:22,mcai230221.tif|mcai230222.tif|,Lewis E M 23.22 front|Lewis E M 23.22 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1400,1499,111 x 148 mm,Initial E | This initial is typical of minor initial decoration found in Italian choir books of the fifteenth century. The style and palette suggest an illuminator working in Siena.|This image shows the reverse of a cutting with a decorated initial from a choir book.|,Parchment,Latin,"Siena, Italy",,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Choir book
Lewis E M 23:22,mcai230221.tif|mcai230222.tif|,Lewis E M 23.22 front|Lewis E M 23.22 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Italy, Italian, Song book, Musical notation, Illustration, Illumination, Fragment",,,,,,,,,,,,,,
Lewis E M 23:23,mcai230231.tif|mcai230232.tif|,Lewis E M 23.23 front|Lewis E M 23.23 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1400,1499,102 x 173 mm,Initial R | This initial is typical of minor initial decoration found in Italian choir books of the fifteenth century.|This image shows the reverse of a cutting with a decorated initial from a choir book.|,Parchment,Latin,Italy (northern),,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Choir book
Lewis E M 23:23,mcai230231.tif|mcai230232.tif|,Lewis E M 23.23 front|Lewis E M 23.23 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Italy, Italian, Song book, Musical notation, Illustration, Illumination, Fragment",,,,,,,,,,,,,,
Lewis E M 23:24,mcai230241.tif|mcai230242.tif|,Lewis E M 23.24 front|Lewis E M 23.24 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1400,1499,60 x 91 mm,Initial S | This initial is typical of minor initial decoration found in Italian service books of the fifteenth century.|This image shows the reverse of a cutting with a decorated initial from a service book.|,Parchment,Latin,Italy (central),,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Choir book
Lewis E M 23:24,mcai230241.tif|mcai230242.tif|,Lewis E M 23.24 front|Lewis E M 23.24 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"15th century, Italy, Italian, Song book, Musical notation, Illustration, Illumination, Fragment",,,,,,,,,,,,,,
Lewis E M 24:1-4,mcai240011.tif|mcai240012.tif|mcai240021.tif|mcai240022.tif|mcai240031.tif|mcai240032.tif|mcai240041.tif|mcai240042.tif|,Lewis E M 24.1 front|Lewis E M 24.1 reverse|Lewis E M 24.2 front|Lewis E M 24.2 reverse|Lewis E M 24.3 front|Lewis E M 24.3 reverse|Lewis E M 24.4 front|Lewis E M 24.4 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1185,1199,200 x 280 mm,"Initial P with St. Paul | This initial begins Paul's letter to Titus. Glossed books of the Bible, such as the manuscript from which this leaf and three others (Lewis E M 24:2- 4) were taken, contained explanatory texts compiled from centuries of Biblical exegesis written alongside the Scripture. The complex layout of the page of a glossed Bible helped readers to distinguish between the main text and the gloss. The main text is written in large script in one column down the center of the page. The gloss is the smaller script written between the lines and in the two columns flanking the main text.|This image shows the reverse of a leaf with a decorated initial from a glossed Bible.|Initial P | This initial begins Paul's first letter to the Thessalonians. Glossed books of the Bible, such as the manuscript from which this leaf and three others (Lewis E M 24:1, 3, and 4) were taken, contained explanatory texts compiled from centuries of Biblical exegesis written alongside the Scripture. The complex layout of the page of a glossed Bible helped readers to distinguish between the main text and the gloss. The main text is written in large script in one column down the center of the page. The gloss is the smaller script written between the lines and in the two columns flanking the main text.|This image shows the reverse of a leaf with a decorated initial from a glossed Bible.|Initial P | This initial begins Paul's letter to the Philippians. Glossed books of the Bible, such as the manuscript from which this leaf and three others (Lewis E M 24:1, 2, and 4) were taken, contained explanatory texts compiled from centuries of Biblical exegesis written alongside the Scripture. The complex layout of the page of a glossed Bible helped readers to distinguish between the main text and the gloss. The main text is written in large script in one column down the center of the page. The gloss is the smaller script written between the lines and in the two columns flanking the main text.|This image shows the reverse of a leaf with a decorated initial from a glossed Bible.|Initial P | This initial begins Paul's letter to Timothy. Glossed books of the Bible, such as the manuscript from which this leaf and three others (Lewis E M 24:1-3) were taken, contained explanatory texts compiled from centuries of Biblical exegesis written alongside the Scripture. The complex layout of the page of a glossed Bible helped readers to distinguish between the main text and the gloss. The main text is written in large script in one column down the center of the page. The gloss is the smaller script written between the lines and in the two columns flanking the main text.|This image shows the reverse of a leaf with a decorated initial from a glossed Bible.|",Parchment,Latin,Italy (central),Transitional script (praegothica),,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,"Bible, glossed Epistles of Paul"
Lewis E M 24:1-4,mcai240011.tif|mcai240012.tif|mcai240021.tif|mcai240022.tif|mcai240031.tif|mcai240032.tif|mcai240041.tif|mcai240042.tif|,Lewis E M 24.1 front|Lewis E M 24.1 reverse|Lewis E M 24.2 front|Lewis E M 24.2 reverse|Lewis E M 24.3 front|Lewis E M 24.3 reverse|Lewis E M 24.4 front|Lewis E M 24.4 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"12th century, Italy, Italian, Bible, Biblical, Gloss, Illustration, Illumination, Fragment",,,,,,,,,,,,,,
Lewis E M 24:5,mcai240051.tif|mcai240052.tif|,Lewis E M 24.5 front|Lewis E M 24.5 reverse|,United States,Philadelphia,Free Library of Philadelphia,John Frederick Lewis Collection of European Manuscripts,,,1300,1350,154 x 163 mm,"Initial S | The style of this initial is typical of Bolognese illumination in the fourteenth century, but the palette suggests a Riminese illuminator, possibly working within the circle of Neri da Rimini. Neri was active in both cities in the first quarter of the fourteenth century.|This image shows the reverse of a cutting with a decorated initial from a choir book.|",Parchment,Latin,"Emilia-Romagna, Rimini?, Italy",Rotunda,,,"Lewis, John Frederick, 1860-1932",http://viaf.org/viaf/63874811,Choir book
Lewis E M 24:5,mcai240051.tif|mcai240052.tif|,Lewis E M 24.5 front|Lewis E M 24.5 reverse|,United States,Philadelphia,Free Library of Philadelphia,,"14th century, Italy, Italian, Song book, Musical notation, Illustration, Illumination, Fragment",,,,,,,,,,,,,,
